FIPS,Area (Land),Area (Water),Total_Population,Percent_Pov
Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,PCT_SE_A13002_002
09170180101,2729866,1078817,2094,0
09170180102,3276559,1155215,4656,0.87
09170180200,3535585,0,5377,5.78
09170180300,1754046,17973,2500,19.43
09170180400,4976820,333020,2384,11.67
09170180500,4126974,80208,4125,9.33
09170180601,3934803,429217,3461,4.11
09170180602,7512732,21543,3132,5.7
09170184101,3982632,162843,5298,12.13
09170184200,5271345,124552,4291,2.38
09170184300,4060103,2216307,4303,3.31
09170184400,4758338,5299702,2998,4
09170184500,5177200,56876,2661,0.66
09170184600,12521106,7033952,2746,0
09170184700,20797692,1035886,5793,0
09170186100,19746090,388280,6970,1.23
09170186200,44377362,4550909,6517,2.53
09170190100,8256222,685301,3037,2.96
09170190200,20159388,6215273,3425,1.21
09170190301,29364950,341938,6581,0
09170190302,20122834,340031,5590,2.07
09170190303,44029937,728673,3404,2.62
09170194101,8554618,1550954,2149,0
09170194102,8389699,1752779,2806,0
09170194201,47265521,190301,7061,0.92
09170194202,29412274,790459,5561,0.42
09170361401,425902,0,3563,8.45
09170361402,771198,0,2871,0
09170361500,3069153,52755,6849,15.92
09170990000,0,586791386,0,
09180690300,3685975,0,6345,19
09180690400,489965,0,2195,26.95
09180690500,971222,394888,2932,25.14
09180690700,1009236,952856,1283,17.69
09180690800,1237563,0,3687,7.2
09180690900,3229935,10220075,5382,7.64
09180693300,17867348,12274617,5293,1.07
09180693400,8004869,152957,4502,3.15
09180693500,13079902,15354183,3560,7.76
09180693600,11212514,1612801,3144,2.93
09180693700,34957752,1329403,3130,0
09180695201,41626233,812704,5204,7.55
09180695202,45002992,2153472,5648,0
09180696100,8291306,522413,5215,11.27
09180696200,27348329,454438,4958,0
09180696300,9058911,430813,3141,2.03
09180696401,5272209,376909,5622,22.1
09180696500,2823338,99898,2961,7.83
09180696600,7834654,31747,4109,5.52
09180696701,5188295,688495,5861,33.75
09180696800,1155658,99400,3402,22.57
09180697000,5707486,779720,4723,10.34
09180700100,79848696,2360639,4812,0.64
09180701100,69537755,1355192,8394,2.98
09180701200,28255542,3046686,7000,13
09180702100,22150937,889208,4367,1.99
09180702300,2652290,1149376,2455,3.65
09180702400,2654759,292884,3411,2.25
09180702500,2680171,552479,4500,36.39
09180702600,2443713,8499408,1224,1.2
09180702700,8333686,799911,5026,17.22
09180702800,12282138,562537,3833,1.79
09180702900,7700999,21585055,2314,2.95
09180703000,6218442,1503575,3650,1.76
09180705101,15545496,4226447,3979,2.05
09180705102,11011936,0,4236,5.04
09180705200,22468431,12586485,3661,7.19
09180705300,11356301,12437882,3660,0.62
09180705400,39693439,393127,2845,1.07
09180707100,140501875,1868223,5154,5.37
09180709100,77032883,4898064,6167,1.7
09180709200,12864261,1205965,5317,4.44
09180710100,42200264,1018780,4213,6.69
09180711100,34296090,1491928,2945,7.79
09180712100,51048739,222178,1925,3.48
09180713100,51708109,723331,2373,6.62
09180714101,12617992,0,4048,3.14
09180714103,67218720,1000607,6476,2.2
09180714104,46929919,1074385,4981,0.73
09180715100,74924895,2172864,4247,3.97
09180716101,28697551,588744,5384,1.37
09180716102,40596086,1222159,5506,3.89
09180800300,4333069,41620,6227,23.84
09180800400,5893651,6408,3794,13.4
09180800501,13626092,807244,3710,28.75
09180800502,42427986,1124985,2799,0
09180800600,1456494,153517,4028,25.51
09180800700,1796573,15149,3347,2.75
09180870100,140113258,2986571,7137,5.8
09180870200,12136935,365987,6002,7.72
09180870300,3897500,1339406,5375,32.14
09180870501,13469015,988231,4183,2.23
09180870502,8178265,1762802,2971,13.46
09180870701,6435668,597670,2071,1.07
09180870703,5659642,5845772,1523,4.45
