FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Total_Pop,Perc_Pov
34003035100,10419968,25132,34,"Census Tract 351, Bergen County, New Jersey",8625,5.66
34003035200,8744046,445072,34,"Census Tract 352, Bergen County, New Jersey",6097,1.34
34003036100,4228812,9737,34,"Census Tract 361, Bergen County, New Jersey",2671,13.58
34003036200,4775003,108396,34,"Census Tract 362, Bergen County, New Jersey",3106,0.93
34003037100,2135435,63174,34,"Census Tract 371, Bergen County, New Jersey",5283,1.36
34003037201,1520761,12963,34,"Census Tract 372.01, Bergen County, New Jersey",4202,4.36
34003037203,1793567,30579,34,"Census Tract 372.03, Bergen County, New Jersey",3879,5.55
34003037204,462956,0,34,"Census Tract 372.04, Bergen County, New Jersey",3518,10.05
34003038100,4479721,6349,34,"Census Tract 381, Bergen County, New Jersey",5644,4.1
34003038200,615308,0,34,"Census Tract 382, Bergen County, New Jersey",4483,0.6
34003038300,1339355,111451,34,"Census Tract 383, Bergen County, New Jersey",6241,1.32
34003039100,11255869,589609,34,"Census Tract 391, Bergen County, New Jersey",4123,2.15
34003039200,4960538,35170,34,"Census Tract 392, Bergen County, New Jersey",5708,1.03
34003039300,5804676,68510,34,"Census Tract 393, Bergen County, New Jersey",2869,1.08
34003040001,3523214,340859,34,"Census Tract 400.01, Bergen County, New Jersey",3519,4.55
34003040002,2722499,62216,34,"Census Tract 400.02, Bergen County, New Jersey",4678,3.43
34003041100,1205651,107873,34,"Census Tract 411, Bergen County, New Jersey",5134,11.62
34003041200,533657,0,34,"Census Tract 412, Bergen County, New Jersey",5162,8.22
34003041301,728003,0,34,"Census Tract 413.01, Bergen County, New Jersey",5416,3.6
34003041302,741545,0,34,"Census Tract 413.02, Bergen County, New Jersey",4480,5.52
34003042101,2087486,7563,34,"Census Tract 421.01, Bergen County, New Jersey",2955,1.6
34003042102,2446401,0,34,"Census Tract 421.02, Bergen County, New Jersey",4872,6.87
34003042301,3376981,22632,34,"Census Tract 423.01, Bergen County, New Jersey",4241,0.84
34003042302,5840889,0,34,"Census Tract 423.02, Bergen County, New Jersey",5578,0.86
34003042400,6813389,59201,34,"Census Tract 424, Bergen County, New Jersey",4506,2.76
34003042500,6486871,73378,34,"Census Tract 425, Bergen County, New Jersey",4348,5.09
34003043001,3587504,3939,34,"Census Tract 430.01, Bergen County, New Jersey",4056,0
34003043002,3164794,50496,34,"Census Tract 430.02, Bergen County, New Jersey",5162,1.57
34003044100,6938250,78866,34,"Census Tract 441, Bergen County, New Jersey",5899,2.88
34003044201,2641548,84227,34,"Census Tract 442.01, Bergen County, New Jersey",3688,0
34003044202,4671747,16076,34,"Census Tract 442.02, Bergen County, New Jersey",5135,3.29
34003045101,855145,0,34,"Census Tract 451.01, Bergen County, New Jersey",4445,2.79
34003045102,946032,0,34,"Census Tract 451.02, Bergen County, New Jersey",4247,6.35
34003045200,4785921,847803,34,"Census Tract 452, Bergen County, New Jersey",2747,0
34003046100,2412543,323904,34,"Census Tract 461, Bergen County, New Jersey",4012,12.75
34003046200,1057583,78184,34,"Census Tract 462, Bergen County, New Jersey",4486,5.5
34003046300,945076,133093,34,"Census Tract 463, Bergen County, New Jersey",4669,15.74
34003047100,3856834,47743,34,"Census Tract 471, Bergen County, New Jersey",5984,1.61
34003047200,2439550,29833,34,"Census Tract 472, Bergen County, New Jersey",4573,4.7
34003047300,2604514,10599,34,"Census Tract 473, Bergen County, New Jersey",3360,2.57
34003047400,2336890,4003,34,"Census Tract 474, Bergen County, New Jersey",5290,1.25
34003047500,3632853,69528,34,"Census Tract 475, Bergen County, New Jersey",6869,2.79
34003048100,1625029,112460,34,"Census Tract 481, Bergen County, New Jersey",4139,4.46
34003048200,3121311,3655,34,"Census Tract 482, Bergen County, New Jersey",7885,0.87
34003049001,5783372,537216,34,"Census Tract 490.01, Bergen County, New Jersey",4534,1.07
34003049002,4758162,92112,34,"Census Tract 490.02, Bergen County, New Jersey",5399,1.98
