FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Total_Pop,Perc_Pov
09120071400,584774,0,9,"Census Tract 714, Greater Bridgeport Planning Region, Connecticut",4409,32.13
09120071600,172310,0,9,"Census Tract 716, Greater Bridgeport Planning Region, Connecticut",2309,36.11
09120071900,494024,0,9,"Census Tract 719, Greater Bridgeport Planning Region, Connecticut",4678,10.46
09120072000,687910,0,9,"Census Tract 720, Greater Bridgeport Planning Region, Connecticut",3691,18.38
09120072100,1296158,0,9,"Census Tract 721, Greater Bridgeport Planning Region, Connecticut",7005,10.05
09120072200,901411,0,9,"Census Tract 722, Greater Bridgeport Planning Region, Connecticut",4439,10.72
09120072300,917854,0,9,"Census Tract 723, Greater Bridgeport Planning Region, Connecticut",5627,12.26
09120072400,683636,0,9,"Census Tract 724, Greater Bridgeport Planning Region, Connecticut",3496,5.2
09120072500,1445637,0,9,"Census Tract 725, Greater Bridgeport Planning Region, Connecticut",6336,13.01
09120072600,3020530,3299,9,"Census Tract 726, Greater Bridgeport Planning Region, Connecticut",9045,10.62
09120072700,1796460,281360,9,"Census Tract 727, Greater Bridgeport Planning Region, Connecticut",4206,9.68
09120072800,1497269,0,9,"Census Tract 728, Greater Bridgeport Planning Region, Connecticut",4693,17.55
09120072900,2321220,134940,9,"Census Tract 729, Greater Bridgeport Planning Region, Connecticut",4739,11.99
09120073000,1201081,0,9,"Census Tract 730, Greater Bridgeport Planning Region, Connecticut",1887,0
