OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
169043809,179,Good Hope Rd & 14th St SE,31803,38.866611,-76.985238,YES,NO,,,NO,8,7,401281.1123,133198.9693,
169043810,180,Glebe Rd & 11th St N,31038,38.883921,-77.116817,YES,NO,,,NO,0,11,389864.5607,135126.891,
169043811,181,Wilson Blvd & N Quincy St,31039,38.880012,-77.107854,YES,NO,,,NO,7,8,390641.7079,134692.0054,
169043812,182,Fairfax Dr & Kenmore St,31040,38.884616,-77.10108,YES,NO,,,NO,5,6,391230.041,135202.4118,
169043813,183,Gallaudet / 8th St & Florida Ave NE,31508,38.90509,-76.9941,YES,NO,,,NO,4,15,400511.7523,137470.3491,
169043814,185,20th & L St NW,31250,38.903584,-77.044789,YES,NO,,,NO,4,15,396115.0244,137304.1074,
169043815,186,12th & L St NW,31251,38.903819,-77.0284,YES,NO,,,NO,0,18,397536.6062,137329.6244,
169043816,187,21st St & Pennsylvania Ave NW,31252,38.901539,-77.046564,YES,NO,,,NO,6,12,395960.946,137077.173,
169043817,188,19th & K St NW,31253,38.902204,-77.04337,YES,NO,,,NO,11,11,396238.035,137150.8568,
169043818,189,Prince St & Union St,31041,38.803124,-77.040363,YES,NO,,,NO,16,3,396494.0027,126152.1522,
169043819,190,Market Square / King St & Royal St,31042,38.804718,-77.043363,YES,NO,,,NO,12,1,396233.5018,126329.2156,
169043820,191,Saint Asaph St & Pendleton  St,31043,38.810743,-77.044664,YES,NO,,,NO,8,7,396120.8245,126998.0832,
169043821,192,King St & Patrick St,31044,38.805317,-77.049883,YES,NO,,,NO,7,6,395667.2127,126395.9976,
169043822,193,15th & K St NW,31254,38.902,-77.03353,YES,NO,,,NO,2,24,397091.5598,137127.8517,
169043823,194,Commerce St & Fayette St,31045,38.805648,-77.05293,YES,NO,,,NO,10,5,395402.5747,126432.8897,
169043824,195,Henry St & Pendleton St,31046,38.811456,-77.050276,YES,NO,,,NO,15,1,395633.4525,127077.4842,
169043825,196,Braddock Rd Metro,31047,38.814577,-77.052808,YES,NO,,,NO,11,16,395413.7448,127424.0593,
169043826,197,King St Metro South,31048,38.805767,-77.06072,YES,NO,,,NO,10,12,394725.9552,126446.5207,
169043827,198,24th & N St NW,31255,38.9066,-77.05152,YES,NO,,,NO,0,15,395531.3698,137639.2158,
169043828,199,10th & E St NW,31256,38.895914,-77.026064,YES,NO,,,NO,8,4,397738.9784,136452.0457,
169043829,200,22nd & I St NW / Foggy Bottom,31257,38.90088,-77.048911,YES,NO,,,NO,9,4,395757.3234,137004.1251,
169043830,201,Utah St & 11th St N,31049,38.883669,-77.113905,YES,NO,,,NO,3,7,390117.1807,135098.5978,
169043831,202,Barton St & 10th St N,31050,38.884961,-77.08777,YES,NO,,,NO,5,6,392384.8871,135239.515,
169043832,203,Arlington Blvd & N Queen St,31051,38.889365,-77.077294,YES,NO,,,NO,8,3,393294.2209,135727.5712,
169043833,204,Lincoln Memorial,31258,38.888251,-77.049426,YES,NO,,,NO,5,18,395711.8918,135602.2305,
169043834,206,20th St & Virginia Ave NW,31259,38.894722,-77.045128,YES,NO,,,NO,4,10,396085.1334,136320.3691,
169043835,207,5th St & Massachusetts Ave NW,31265,38.90093,-77.018677,YES,NO,,,NO,5,12,398379.906,137008.7047,
169043836,208,39th & Veazey St NW,31308,38.943837,-77.077078,YES,NO,,,NO,4,10,393318.066,141774.4003,
169043837,209,Fessenden St & Wisconsin Ave NW,31309,38.954812,-77.082426,YES,NO,,,NO,7,8,392855.5451,142993.1291,
169043838,210,M St & Delaware Ave NE,31627,38.905707,-77.003041,YES,NO,,,NO,11,11,399736.233,137538.8289,
169043839,211,Columbia Pike & S Courthouse Rd,31053,38.863833,-77.080319,YES,NO,,,NO,3,12,393029.288,132893.5539,
169043840,212,Walter Reed Community Center / Walter Reed Dr & 16th St S,31054,38.857803,-77.086733,YES,NO,,,NO,6,5,392471.9951,132224.6897,
169043841,213,28th St S & S Meade St,31055,38.846222,-77.069275,YES,NO,,,NO,11,4,393986.2891,130937.822,
169043842,214,18th St & Wyoming Ave NW,31114,38.918809,-77.041571,YES,NO,,,NO,0,23,396394.9217,138994.0757,
169043843,215,5th & Kennedy St NW,31403,38.956556,-77.019814,YES,NO,,,NO,6,8,398282.6198,143183.69,
169043844,216,Georgia Ave & Emerson St NW,31405,38.949662,-77.027333,YES,NO,,,NO,13,6,397630.6806,142418.5615,
169043845,217,14th & Upshur St NW,31406,38.942016,-77.032652,YES,NO,,,NO,5,14,397169.3077,141569.9385,
169043846,218,14th St & Colorado Ave NW,31407,38.956432,-77.032947,YES,NO,,,NO,1,18,397144.3109,143170.2538,
169043847,219,S Troy St & 26th St S,31056,38.847977,-77.075104,YES,NO,,,NO,9,2,393480.4384,131133.0394,
169043848,220,S Four Mile Run Dr & S Shirlington Rd,31057,38.8444,-77.085931,YES,NO,,,NO,5,6,392540.2043,130736.7966,
169043849,221,S Oakland St & Columbia Pike,31058,38.860789,-77.09586,YES,NO,,,NO,6,4,391680.164,132556.9494,
169043850,222,S Four Mile Run & Walter Reed Dr,31059,38.84736,-77.095431,YES,NO,,,NO,5,5,391715.8392,131066.1963,
169043851,223,S Arlington Mill Dr & Campbell Ave,31060,38.84232,-77.089555,YES,NO,,,NO,7,7,392225.3731,130506.2046,
169043852,224,S Kenmore & 24th St S,31061,38.848454,-77.084918,YES,NO,,,NO,5,6,392628.5629,131186.7364,
169043853,225,13th St & Eastern Ave,32006,38.987,-77.029417,YES,NO,,,NO,4,9,397451.3679,146563.4885,
169043854,226,Wisconsin Ave & O St NW,31312,38.90849,-77.063586,YES,NO,,,NO,13,6,394484.9615,137849.681,
169043855,227,S George Mason Dr & 13th St S,31062,38.854691,-77.100555,YES,NO,,,NO,8,3,391271.9323,131880.4662,
169043856,228,Connecticut & Nebraska Ave NW,31310,38.955016,-77.069956,YES,NO,,,NO,4,18,393936.4269,143014.8728,
169043857,229,17th St & Massachusetts Ave NW,31267,38.908142,-77.038359,YES,NO,,,NO,6,12,396672.972,137809.8284,
169043858,230,15th & Euclid St  NW,31117,38.92333,-77.0352,YES,NO,,,NO,0,15,396947.6147,139495.7125,
169043859,231,8th & East Capitol St NE,31629,38.889988,-76.995193,YES,NO,,,NO,4,6,400417.0363,135793.9012,
169043860,232,New Jersey Ave & R St NW,31509,38.912659,-77.017669,YES,NO,,,NO,1,14,398467.5947,138310.7019,
169043861,233,15th & East Capitol St NE,31630,38.889908,-76.983326,YES,NO,,,NO,9,2,401446.5718,135785.1417,
169043862,234,8th & F St NE,31631,38.897274,-76.994749,YES,NO,,,NO,0,14,400455.5094,136602.7068,
169043863,235,18th St & Rhode Island Ave NE,31510,38.927095,-76.978924,YES,NO,,,NO,6,9,401827.5193,139913.282,
169043864,236,15th & F St NE,31632,38.897195,-76.983575,YES,NO,,,NO,9,10,401424.824,136594.0523,
169043865,237,12th & Irving St NE,31511,38.928644,-76.990955,YES,NO,,,NO,3,12,400784.2832,140085.0622,
169043866,239,Alabama & MLK Ave SE,31800,38.843222,-76.999388,YES,NO,,,NO,2,9,400053.1295,130602.5195,
169043867,240,Pleasant St & MLK Ave SE,31807,38.863897,-76.990037,YES,NO,,,NO,9,2,400864.6665,132897.639,
169043868,241,Neal St & Trinidad Ave NE,31512,38.903732,-76.987211,YES,NO,,,NO,5,9,401109.3092,137319.6612,
169043869,242,12th & U St NW,31268,38.916787,-77.028139,YES,NO,,,NO,3,26,397559.6888,138769.172,
169043870,243,S George Mason Dr & Four Mile Run,31063,38.852248,-77.105022,YES,NO,,,NO,6,4,390883.8896,131609.7125,
169043871,244,S Stafford & 34th St S,31064,38.834108,-77.087323,YES,NO,,,NO,3,8,392418.2699,129594.429,
169043872,245,N Pershing Dr & Wayne St,31065,38.880705,-77.08596,YES,NO,,,NO,0,11,392541.4816,134766.9171,
169043873,246,Columbia Pike & S Orme St,31066,38.867262,-77.072315,YES,NO,,,NO,4,7,393724.2392,133273.6172,
169043874,247,3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955,YES,NO,,,NO,7,6,399830.3857,135504.1617,
169043875,248,8th & D St NW,31270,38.894851,-77.02324,YES,NO,,,NO,11,0,397983.9271,136333.9781,
169043876,249,3rd & Elm St NW,31118,38.917622,-77.01597,YES,NO,,,NO,3,10,398615.0427,138861.609,
169043877,250,Rhode Island Ave & V St NE,31513,38.918155,-77.004746,YES,NO,,,NO,2,17,399588.4184,138920.666,
169043878,251,Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917,YES,NO,,,NO,5,19,398792.6549,136047.8572,
169043879,252,Washington & Independence Ave SW/HHS,31272,38.886978,-77.013769,YES,NO,,,NO,23,8,398805.4057,135459.8469,
169043880,253,Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887312,-77.025762,YES,NO,,,NO,4,7,397764.9071,135497.1487,
