Census Tract,Geography,Geographic Area Name,Total,"Chinese, except Taiwanese",Hmong,Japanese,Korean,Mongolian,Okinawan,Taiwanese,Other East Asian,Burmese,Cambodian,Filipino,Indonesian,Laotian,Malaysian,Mien,Singaporean,Thai,Vietnamese,Other Southeast Asian,Asian Indian,Bangladeshi,Bhutanese,Nepalese,Pakistani,Sikh,Sri Lankan,Other South Asian,Kazakh,Uzbek,Other Central Asian,"Other Asian, specified","Other Asian, not specified",Two or more Asian,Estimate!!Total:,Percent Asian of Census Tract,GEOID
21904,1400000US13067030363,Census Tract 303.63; Cobb County; Georgia,316,31,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3531,8.949306146,13067030363
21905,1400000US13067030364,Census Tract 303.64; Cobb County; Georgia,91,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,2740,3.321167883,13067030364
21906,1400000US13067030365,Census Tract 303.65; Cobb County; Georgia,45,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3021,1.489572989,13067030365
21907,1400000US13067030366,Census Tract 303.66; Cobb County; Georgia,443,98,0,0,12,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,3235,13.69397218,13067030366
21908,1400000US13067030367,Census Tract 303.67; Cobb County; Georgia,179,12,0,0,41,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,81,0,0,0,37,0,0,0,0,0,0,0,0,3,2535,7.061143984,13067030367
21909,1400000US13067030368,Census Tract 303.68; Cobb County; Georgia,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,2698,7.153446998,13067030368
21910,1400000US13067030369,Census Tract 303.69; Cobb County; Georgia,363,182,0,0,25,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,3494,10.38923869,13067030369
21911,1400000US13067030370,Census Tract 303.70; Cobb County; Georgia,360,56,0,21,80,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,4009,8.97979546,13067030370
21912,1400000US13067030405,Census Tract 304.05; Cobb County; Georgia,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,6832,1.273419204,13067030405
21913,1400000US13067030407,Census Tract 304.07; Cobb County; Georgia,657,226,0,34,46,0,0,0,0,0,0,122,0,0,0,0,0,44,27,0,144,0,0,14,0,0,0,0,0,0,0,0,0,0,4959,13.24863884,13067030407
21914,1400000US13067030408,Census Tract 304.08; Cobb County; Georgia,501,47,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,21,2750,18.21818182,13067030408
21915,1400000US13067030409,Census Tract 304.09; Cobb County; Georgia,511,271,0,0,48,0,0,0,0,0,0,0,0,14,0,0,0,15,40,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,3390,15.07374631,13067030409
21916,1400000US13067030410,Census Tract 304.10; Cobb County; Georgia,99,17,0,0,36,0,0,0,0,0,0,31,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4557,2.172481896,13067030410
21917,1400000US13067030411,Census Tract 304.11; Cobb County; Georgia,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,3.21557971,13067030411
21918,1400000US13067030412,Census Tract 304.12; Cobb County; Georgia,149,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,4732,3.148774303,13067030412
21919,1400000US13067030413,Census Tract 304.13; Cobb County; Georgia,347,33,0,35,0,0,0,0,0,0,0,0,0,38,0,0,0,0,16,0,196,0,0,0,0,0,0,0,0,0,0,0,29,0,5628,6.165600569,13067030413
21920,1400000US13067030414,Census Tract 304.14; Cobb County; Georgia,144,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,28,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,3180,4.528301887,13067030414
